year,PRUID,province,race,sex,province_sex,population,arrested,race_percent_population,race_percent_arrested,race_disparity_index
2016,99,National,Other Minority,Male,National-Male,"3,326,360","1,870",0.16,0.09,-0.460472233
2016,59,BC,Other Minority,Male,BC-Male,"678,455",404,0.25,0.13,-0.490398763
2016,48,AB,Other Minority,Male,AB-Male,"417,245",284,0.17,0.10,-0.429622389
2016,47,SK,Other Minority,Male,SK-Male,"53,900",96,0.08,0.07,-0.157824224
2016,46,MB,Other Minority,Male,MB-Male,"101,180",90,0.13,0.08,-0.390857993
2016,35,ON,Other Minority,Male,ON-Male,"1,670,275",597,0.21,0.11,-0.462669548
2016,24,QC,Other Minority,Male,QC-Male,"358,115",315,0.08,0.06,-0.256153593
2016,13,NB,Other Minority,Male,NB-Male,"11,095",47,0.02,0.04,0.545648011
2016,10,NL,Other Minority,Male,NL-Male,5765,3,0.02,0.03,0.492838674
2016,11,PE,Other Minority,Male,PE-Male,3520,0,0.04,0.00,-1
2016,12,NS,Other Minority,Male,NS-Male,"23,420",34,0.04,0.05,0.105288889
2016,61,NW,Other Minority,Male,NW-Male,1625,0,0.06,0.00,-1
2016,60,YU,Other Minority,Male,YU-Male,1450,0,0.06,0.00,-1
2016,62,NU,Other Minority,Male,NU-Male,310,0,0.01,0.00,-1
2016,99,National,Black,Both,National,"1,817,085","1,968",0.04,0.09,1.007772723
2016,59,BC,Black,Both,BC,"84,995",121,0.02,0.04,1.37668369
2016,48,AB,Black,Both,AB,"172,630",145,0.04,0.05,0.295747038
2016,47,SK,Black,Both,SK,"19,980",26,0.02,0.02,0.172063156
2016,46,MB,Black,Both,MB,"39,665",40,0.03,0.04,0.374972512
2016,35,ON,Black,Both,ON,"876,695","1,100",0.05,0.20,2.640484745
2016,24,QC,Black,Both,QC,"584,290",341,0.06,0.06,-0.034499871
2016,13,NB,Black,Both,NB,"8,980",95,0.01,0.07,6.763774591
2016,10,NL,Black,Both,NL,3590,0,0.01,0.00,-1
2016,11,PE,Black,Both,PE,1305,0,0.01,0.00,-1
2016,12,NS,Black,Both,NS,"22,875",100,0.02,0.12,5.018428226
2016,61,NW,Black,Both,NW,995,0,0.02,0.00,-1
2016,60,YU,Black,Both,YU,515,0,0.01,0.00,-1
2016,62,NU,Black,Both,NU,560,0,0.01,0.00,-1
2016,99,National,White,Both,National,"31,311,855","13,791",0.74,0.61,-0.183508514
2016,59,BC,White,Both,BC,"3,779,770","1,899",0.68,0.57,-0.16123754
2016,48,AB,White,Both,AB,"3,535,760","1,705",0.73,0.54,-0.25610764
2016,47,SK,White,Both,SK,"989,700",438,0.76,0.30,-0.60139413
2016,46,MB,White,Both,MB,"1,073,880",379,0.70,0.34,-0.518800753
2016,35,ON,White,Both,ON,"11,372,065","3,165",0.70,0.57,-0.192487152
2016,24,QC,White,Both,QC,"7,888,035","4,484",0.82,0.78,-0.059577123
2016,13,NB,White,Both,NB,"853,715",971,0.92,0.77,-0.165297014
2016,10,NL,White,Both,NL,"555,100",99,0.88,0.87,-0.016748997
2016,11,PE,White,Both,PE,"160,690",22,0.92,1.00,0.082519136
2016,12,NS,White,Both,NS,"1,032,350",625,0.88,0.73,-0.166516046
2016,61,NW,White,Both,NW,"26,335",0,0.51,0.00,-1
